source	line	component	value	api_value_type	field	updates_and_guards	verification
shared/src/commonMain/kotlin/ui/board/ThreadFormComponents.kt	365	TextField	passwordInputState.value	TextFieldValue	通常投稿・削除キー	親状態同期。AI DraftReplyでも外部置換。マスク	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/ThreadPostActionDialogs.kt	215	OutlinedTextField	passwordInputState.value	TextFieldValue	通常本人削除・キー	親状態同期。マスク	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/ThreadSheetComponents.kt	191	OutlinedTextField	keywordInputState.value	TextFieldValue	通常レス絞込	親keyword同期。全解除操作あり	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/ThreadTopLevelComponents.kt	120	TextField	searchInputState.value	TextFieldValue	通常スレ検索	親状態同期。AI SearchThreadによる外部置換あり	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatArchiveSearchDialog.kt	224	TextField	query	String	過去ログ検索	200字制限・クリア・履歴候補による置換。検索完了はqueryを書き換えない	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatBoardUpdate.kt	225	TextField	url	String	板一覧URL	文字数制限。ネットワーク結果はURL入力自体を書き換えない	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatCatalogCacheSearchDialog.kt	159	TextField	query	String	カタログキャッシュ検索	200字制限・クリア・履歴候補による置換。検索完了はqueryを書き換えない	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatWatcherManager.kt	73	TextField	word	String	巡回キーワード	100字制限・編集ボタンで既存ワードに置換・保存後クリア	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	5861	TextField	name	String	互換板編集・名前	initialName変更時初期化・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	5868	TextField	url	String	互換板編集・URL	initialUrl/urlEditable変更時初期化・文字数制限・既存URL編集不可	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	8925	TextField	deletePassword	String	互換本人削除・キー	ダイアログを開く際に保存キーを設定・文字数制限・マスクなし	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	9015	TextField	extractionKeyword	String	互換レス抽出	抽出条件入力・開始/終了時クリア	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	9335	TextField	query	String	互換カタログ検索	親query同期。AIコマンドによる外部置換あり	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	9790	TextField	query	String	互換スレ検索	親query同期。AIコマンドによる外部置換あり	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	10501	TextField	searchQuery	String	互換NG検索	200字制限。重複追加時に検索文字を設定して検索表示へ移行	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	10824	TextField	newValue	String	互換NG追加・参照形式	文字数制限・追加後クリア	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	10845	TextField	newValue	String	互換NG追加・汎用形式	200字制限・追加後クリア	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	11070	TextField	editMemo	String	互換画像NG編集メモ	編集を開く際に既存値設定・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	11084	TextField	editValue	String	互換NG編集・参照形式	編集を開く際に既存値設定・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	11101	TextField	editValue	String	互換NG編集・汎用形式	編集を開く際に既存値設定・200字制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	11115	TextField	editMemo	String	互換NG編集メモ・汎用形式	編集を開く際に既存値設定・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilityApp.kt	11882	TextField	memo	String	互換画像NG追加メモ	initialMemo変更時初期化・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	1382	TextField	cacheEndpointDraft	String	キャッシュ接続先	ダイアログを開く際に既存値を設定・300字制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	1630	TextField	ptmtValue	String	ptmtクッキー	非同期取得はptmtDialogOpenかつ入力が空の場合だけ反映・2048字制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	1647	TextField	ptmtCheck	String	ptmt確認文	ダイアログを開く際に空文字・32字制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	2891	TextField	comment	String	あぷ小ダイアログ・コメント	ダイアログを開く際に初期化・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	2898	TextField	deleteKey	String	あぷ小ダイアログ・削除キー	ダイアログを開く際に初期化・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	3496	TextField	commentValue	TextFieldValue	互換投稿・本文	回線情報・リセット・遅延下書き復元で実機再現。音声/機種情報追加・アップロード完了置換・破棄も存在	実機再現済み（条件は報告書参照）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	3539	TextField	name	String	互換投稿・名前	非同期下書き復元・リセット・破棄・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	3548	TextField	email	String	互換投稿・メール	非同期下書き復元・リセット・メールプリセット・破棄・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	3579	TextField	subject	String	互換投稿・題名	非同期下書き復元・リセット・破棄・文字数制限	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	3588	TextField	deleteKey	String	互換投稿・削除キー	非同期下書き復元・リセット・破棄・文字数制限。後着の保存キーは空欄時のみ反映	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/compat/CompatibilitySecondaryScreens.kt	4733	TextField	endpoint	String	ascii2d接続先	initialEndpoint変更時初期化・512字制限	静的調査（個別画面の実機再現は未検証）
