component	kind	reference_apks	area	status	evidence
BoardFragment	FRAGMENT	BOTH	board	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
BoardUpdateDialogFragment	DIALOG	BOTH	board	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatBoardUpdateTest.kt#boardUpdateAcceptsOnlyReferenceEntryAndUsesReferenceAliases
CatalogActivity	ACTIVITY	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRendersPersistentCacheWithCenteredLoadingWhileNetworkIsBlocked
CatalogCacheSearchDialogFragment	DIALOG	BOTH	catalog-cache	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatCatalogCacheSearchDialogTest.kt#cacheResultsSupportOrAndFilteringLikeLegacySearch;shared/src/commonTest/kotlin/ui/compat/CompatCatalogCacheSearchDialogTest.kt#emptyQueryShowsNewestHistorySuggestionsLikeReferenceDialog
CatalogContextDialogFragment	DIALOG	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#selectorUpdateCheckUsesAllTabProbeInsteadOfReloadingCatalog
CatalogDelDialogFragment	DIALOG	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#selectorUpdateCheckUsesAllTabProbeInsteadOfReloadingCatalog
CatalogDroppedActivity	ACTIVITY	FINAL_ONLY	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDroppedCommandShowsTrackedThreadAndKeepsCurrentCatalog
CatalogExtractActivity	ACTIVITY	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
CatalogExtractAddDialogFragment	DIALOG	BOTH	catalog-watch	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
CatalogExtractClearDialogFragment	DIALOG	BOTH	catalog-watch	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
CatalogExtractEditDialogFragment	DIALOG	BOTH	catalog-watch	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
CatalogExtractFragment	FRAGMENT	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
CatalogFragment	FRAGMENT	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRendersPersistentCacheWithCenteredLoadingWhileNetworkIsBlocked
CatalogIgnoreActivity	ACTIVITY	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
CatalogIgnoreAddDialogFragment	DIALOG	BOTH	catalog-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
CatalogIgnoreClearDialogFragment	DIALOG	BOTH	catalog-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
CatalogIgnoreEditDialogFragment	DIALOG	BOTH	catalog-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
CatalogIgnoreFragment	FRAGMENT	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
CatalogRefuseActivity	ACTIVITY	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefuseReferenceScreenShowsTitleUrlAndConfirmsEveryDeletion
CatalogRefuseClearDialogFragment	DIALOG	BOTH	catalog-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefuseReferenceScreenShowsTitleUrlAndConfirmsEveryDeletion
CatalogRefuseDeleteDialogFragment	DIALOG	BOTH	catalog-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefuseReferenceScreenShowsTitleUrlAndConfirmsEveryDeletion
CatalogRefuseFragment	FRAGMENT	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefuseReferenceScreenShowsTitleUrlAndConfirmsEveryDeletion
CatalogSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#missingCatalogAndThreadRowsAreReachableAndPersistStableApkKeys;shared/src/commonTest/kotlin/compat/CompatPreferenceSchemaTest.kt#catalogChoicesWithUnitsPersistTheFinalApkEntryValues
CatalogSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#missingCatalogAndThreadRowsAreReachableAndPersistStableApkKeys;shared/src/commonTest/kotlin/compat/CompatPreferenceSchemaTest.kt#catalogChoicesWithUnitsPersistTheFinalApkEntryValues
CatalogTabSelectorContextDialogFragment	DIALOG	BOTH	catalog-tabs	MATCH	shared/src/commonTest/kotlin/compat/CompatibilitySelectorActionsTest.kt#catalogContextHasTheExactTwoReferenceChoices;shared/src/commonTest/kotlin/compat/CompatibilitySelectorActionsTest.kt#updateCheckNeverFallsThroughToCatalogOrThreadReload
CatalogToolbarActivity	ACTIVITY	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogToolbarRendersAndSwapsTheReferenceStateArtwork
CatalogToolbarFragment	FRAGMENT	BOTH	catalog	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogToolbarRendersAndSwapsTheReferenceStateArtwork
ChangeLogActivity	ACTIVITY	BOTH	information	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatibilityInfoScreensTest.kt#futachaChangeLogContainsVersionsAndChangesOnly;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
DownloadReceiver	RECEIVER	OLD_ONLY	saving	SUPERSEDED	shared/src/commonTest/kotlin/service/SingleMediaSaveServiceTest.kt#saveMedia_savesImageUnderPreviewMediaDirectory_forPathStorage;shared/src/commonTest/kotlin/service/SingleMediaSaveServiceTest.kt#saveMedia_usesContentTypeFallbackAndTreeUriStorage_forVideos
DrawerHistoryContextDialogFragment	DIALOG	BOTH	drawer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerTabContextMatchesReferenceListAndFavoriteProtection
DrawerHistoryFragment	FRAGMENT	BOTH	drawer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRemembersLastSelectedPageAfterCloseAndReopen
DrawerMultiFragment	FRAGMENT	BOTH	drawer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRemembersLastSelectedPageAfterCloseAndReopen
DrawerTabContextDialogFragment	DIALOG	BOTH	drawer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerTabContextMatchesReferenceListAndFavoriteProtection
DrawerTabFragment	FRAGMENT	BOTH	drawer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRemembersLastSelectedPageAfterCloseAndReopen
DrawerWatcherContextDialogFragment	DIALOG	BOTH	drawer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerTabContextMatchesReferenceListAndFavoriteProtection
DrawerWatcherFragment	FRAGMENT	BOTH	drawer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRemembersLastSelectedPageAfterCloseAndReopen
GalleryActivity	ACTIVITY	BOTH	gallery-viewer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
GalleryContextDialogFragment	DIALOG	BOTH	gallery-viewer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
GalleryFragment	FRAGMENT	BOTH	gallery-viewer	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
HelpActivity	ACTIVITY	BOTH	information	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
ImageCacheCleanService	SERVICE	BOTH	cache	SUPERSEDED	shared/src/commonTest/kotlin/ui/image/ImageLoaderProviderTest.kt#imageCacheCleanServiceContractAppliesReferenceQuotaToLoaderConfig;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#storageMatchesReferenceRowsDialogsRawValuesAndSeparateCacheUsage
ImageNgActivity	ACTIVITY	FINAL_ONLY	image-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#imageNgManagerUnifiesUrlAndPhashRowsWithReferenceEditorThresholdAndClear
ImageNgFragment	FRAGMENT	FINAL_ONLY	image-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#imageNgManagerUnifiesUrlAndPhashRowsWithReferenceEditorThresholdAndClear
ImageSearchSettingFragment	FRAGMENT	FINAL_ONLY	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#imageSearchUsesTheReferenceDedicatedSettingsPageAndCheckboxRows
LicenseActivity	ACTIVITY	BOTH	information	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatibilityInfoScreensTest.kt#licensesDescribeFutachaDependenciesInsteadOfTheReferenceApplication;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
LicenseFragment	FRAGMENT	BOTH	information	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatibilityInfoScreensTest.kt#licensesDescribeFutachaDependenciesInsteadOfTheReferenceApplication;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
MainActivity	ACTIVITY	BOTH	board	MATCH	app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt#launch_showsBoardManagementAndMenuActions;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
MyApplication	APPLICATION	FINAL_ONLY	startup	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#appContext_usesExpectedPackageAndApplicationClass;shared/src/commonTest/kotlin/util/PersistentLogPolicyTest.kt#tenMegabytesIsRetainedAndLargerLogIsReset;app-android/src/androidTest/java/com/valoser/futacha/ThreadSavePlatformContractInstrumentedTest.kt#platformErrorLogcatIsPersistedForDiagnostics
PostAttachPreviewDialogFragment	DIALOG	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postAttachmentPreviewMatchesReferenceOrderDimensionsAndVideoAffordance
PostBuildActivity	ACTIVITY	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
PostConfirmDialogFragment	DIALOG	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
PostDiscardDialogFragment	DIALOG	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
PostDrawingActivity	ACTIVITY	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
PostDrawingClearDialogFragment	DIALOG	BOTH	drawing	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
PostDrawingCloseDialogFragment	DIALOG	BOTH	drawing	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
PostDrawingPalleteDialogFragment	DIALOG	BOTH	drawing	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatDrawingRenderSupportTest.kt#drawingBrushesAndTwelveColorPickerMatchBothReferenceApks;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
PostDrawingSaveDialogFragment	DIALOG	BOTH	drawing	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
PostImageCompressDialogFragment	DIALOG	BOTH	posting	MATCH	shared/src/commonTest/kotlin/compat/CompatPostPlatformActionsTest.kt#attachmentDecisionSeparatesEveryTargetErrorAndCompressionBoundary;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#ascii2dAndImageCompressionDialogsMatchBothReferenceApks
PostResponseActivity	ACTIVITY	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
PostToolbarActivity	ACTIVITY	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
PostToolbarFragment	FRAGMENT	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
PostUpsUploadByUriDialogFragment	DIALOG	BOTH	posting	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postUpsUploadDialogMatchesReferenceCopyDefaultsAndNonDismissibleFlow
ReverseImageSearchResultActivity	ACTIVITY	FINAL_ONLY	information	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#reverseSearchLongPressAcceptsOnlyLinkHitTypes;shared/src/commonTest/kotlin/ui/compat/CompatibilityInfoScreensTest.kt#futachaChangeLogContainsVersionsAndChangesOnly
SettingPtmtEditDialogFragment	DIALOG	FINAL_ONLY	settings	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatPtmtAndUpsTest.kt#ptmtRequiresTheLegacyConfirmationPhrase;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#settingPtmtEditDialogMatchesFinalApkFieldsActionsAndValidation;iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiPtmtDialogMatchesFinalApkFieldsAndActions
SimpleDialogFragment	DIALOG	BOTH	common-dialog	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#networkMatchesReferenceRowsReadOnlyStatusWarningAndParallelRawValue
StoragePermissionDialogFragment	DIALOG	OLD_ONLY	storage	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/AndroidFileSystemInstrumentedTest.kt#defaultExternalStorageIsAppScopedAndDeclaresNoLegacyPermission
ThreadCacheCleanService	SERVICE	BOTH	cache	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/CompatibilitySnapshotCacheInstrumentedTest.kt#threadCacheCleanServiceContractEvictsOnlyUnprotectedLruBodiesAndKeepsMetadata;app-android/src/androidTest/java/com/valoser/futacha/CompatibilitySnapshotCacheInstrumentedTest.kt#threadCacheCleanServiceForceClearRemovesOnlyBodiesAndReportsLogicalBytes
ThreadContextDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPostAndScrollDialogsMatchReferenceLabelsAndConfirmationFlow
ThreadDelDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPostAndScrollDialogsMatchReferenceLabelsAndConfirmationFlow
ThreadDownloadCacheConfirmDialogFragment	DIALOG	BOTH	thread-cache	SUPERSEDED	shared/src/commonTest/kotlin/ui/compat/CompatThreadFetchTest.kt#incompleteCacheHitIsSupplementedByArchive
ThreadEraseDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPostAndScrollDialogsMatchReferenceLabelsAndConfirmationFlow
ThreadExtractionDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadExtractionAndWebSearchDialogsMatchBothReferenceApks
ThreadExtractionKeywordDialogFragment	DIALOG	BOTH	thread-extraction	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadExtractionAndWebSearchDialogsMatchBothReferenceApks
ThreadHistoryCleanService	SERVICE	BOTH	history	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatibilitySnapshotCacheInstrumentedTest.kt#threadTabAndHistoryCleanServicesUseReferenceTriggerAndTrimBoundaries;shared/src/iosTest/kotlin/compat/IosExperienceProfileStoreTest.kt#compatibilityTabAndHistoryCleanupMatchesReferenceBoundaries
ThreadIgnoreActivity	ACTIVITY	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadIgnoreAddDialogFragment	DIALOG	BOTH	thread-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadIgnoreEditDialogFragment	DIALOG	BOTH	thread-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadIgnoreFragment	FRAGMENT	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadImageContextDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
ThreadNgKeywordClearDialogFragment	DIALOG	BOTH	thread-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadNgRegisterDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadLongPressNgRegistrationUsesRawReferenceRowsAndFeedsHeaderManager
ThreadQuoteDialogFragment	DIALOG	BOTH	thread	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#postActionCandidates_andQuickQuote_keepLegacyFieldOrder
ThreadRefuseActivity	ACTIVITY	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadRefuseAddDialogFragment	DIALOG	BOTH	thread-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadRefuseEditDialogFragment	DIALOG	BOTH	thread-ng	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadRefuseFragment	FRAGMENT	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
ThreadSaveHtmlDialogFragment	DIALOG	BOTH	thread	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadSaveProgressMatchesReferenceTitleBarsAndNonDismissibleFlow;shared/src/commonTest/kotlin/service/ThreadSaveServiceTest.kt#saveThread_writesMetadataAndRawHtmlWithRewrittenPaths
