layout	reference_apks	old_variants	final_variants	old_sha256	final_sha256	area	audit_status	evidence
activity_post_build	BOTH	1	1	ad6ca39c0c275f0c11b11b67c9f2243918a4f0a5a1412f5fe3ff8f2954f3c243	ad6ca39c0c275f0c11b11b67c9f2243918a4f0a5a1412f5fe3ff8f2954f3c243	POST	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
activity_post_drawing	BOTH	1	1	8ff81ee2d1dbafa8c8a6bdac2a768e8948a5eb0c0e2fb4be19a67bed83935ef6	8ff81ee2d1dbafa8c8a6bdac2a768e8948a5eb0c0e2fb4be19a67bed83935ef6	POST_DRAWING	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
activity_post_response	BOTH	1	1	a6e657fc15fd1adddc03cc800901fb573bfff033a4719f77b59bc8b3c8f2b580	a6e657fc15fd1adddc03cc800901fb573bfff033a4719f77b59bc8b3c8f2b580	POST	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
activity_post_toolbar	BOTH	1	1	65b244940401874196ee20b8ae605c8c7fba71036b8be50605a428347d3a21e4	65b244940401874196ee20b8ae605c8c7fba71036b8be50605a428347d3a21e4	POST_TOOLBAR	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
activity_thread_ignore	BOTH	1	1	528aa6b2602087cad10629aab4af3ad59340b5fcff240dcb87e258e2d62f2831	528aa6b2602087cad10629aab4af3ad59340b5fcff240dcb87e258e2d62f2831	THREAD_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
activity_thread_refuse	BOTH	1	1	be0fa5a43b3c2215079b5acdeabf0be964961a6cc17baba8d69fea9469b27e43	be0fa5a43b3c2215079b5acdeabf0be964961a6cc17baba8d69fea9469b27e43	THREAD_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
activity_thread_setting	BOTH	1	1	e4f867edecfc417132a5e696ebe7ad8170ab41d69f4b8b8369aff28eef2c2663	e4f867edecfc417132a5e696ebe7ad8170ab41d69f4b8b8369aff28eef2c2663	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_thread_tab_above	BOTH	1	1	99f740d058360406344393e72b2745c92c566e55dd273050a2a0987aa5958594	14f013611b46a8c457bf7aef32586c302544948a8f79631fc0a85b1de9452768	THREAD_TABS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPagerSwipeSelectsAdjacentTabAndRestoresEachTabScrollState
activity_thread_tab_over	BOTH	1	1	dc2e71250fad99da95c65533d1bcded030e4661da8c65312657329fdcdaffd66	b8be1b8cf95b8287eb179fe9c4a91198b4f46434a2dcbe2cf895ea3927b65ba8	THREAD_TABS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPagerSwipeSelectsAdjacentTabAndRestoresEachTabScrollState
activity_thread_toolbar	BOTH	1	1	6f4c37b7d9266e60425e98fd08c58ddd044df40f63772d4baea2dc8c76c1f179	6f4c37b7d9266e60425e98fd08c58ddd044df40f63772d4baea2dc8c76c1f179	THREAD_TOOLBAR	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
activity_viewer	BOTH	1	1	60a0147e31b21fec100c27cd7353cea6b2a460111194c1a48f716f4bb345ddeb	098bb27395c1ef8bdd853b9a8440e11ecd7c16a95a2b9be148f0a5d594e50e26	VIEWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatViewerGestureInstrumentedTest.kt#viewerSwipeMovesToNextAndPreviousImage
activity_viewer_setting	BOTH	1	1	91b061fd3fcf1c65353c2a89ef555ffd9f1c812a763e8c9955285d2d8064df62	91b061fd3fcf1c65353c2a89ef555ffd9f1c812a763e8c9955285d2d8064df62	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_viewer_toolbar	BOTH	1	1	1120b60282e8fe4a570341474c44a19f5166311f84b98a8fd548a7b10b4f8337	1120b60282e8fe4a570341474c44a19f5166311f84b98a8fd548a7b10b4f8337	VIEWER_TOOLBAR	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
board_dialog_add	BOTH	1	1	a9c1ff60382a4f7465b597b36051a592f878ddf09867f5ffab6ce684317a5526	a9c1ff60382a4f7465b597b36051a592f878ddf09867f5ffab6ce684317a5526	BOARD	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
board_dialog_edit	BOTH	1	1	b3239d851b73c82d602fbba91386dc5c1a6b49a4f533a2f8a7177bc3859bb7c0	b3239d851b73c82d602fbba91386dc5c1a6b49a4f533a2f8a7177bc3859bb7c0	BOARD	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
board_dialog_update	BOTH	1	1	3746d1066af696a2271417fe838122d46e3160597211b9977adbd62916308dec	3746d1066af696a2271417fe838122d46e3160597211b9977adbd62916308dec	BOARD	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
board_listview_fragment	BOTH	1	1	4376e10079bb51604a7239416151dc965965bc5194628466b79c4181bfe28f45	9d6ad2ccff217db9256a1d4978db57d94d6f458bfe12b842180ce44569d0e160	BOARD	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
board_listview_item	BOTH	1	1	1dc05fe068bcba477792f738ecf859908d8d01783f48fb644de4f7e4c0fc8c91	1dc05fe068bcba477792f738ecf859908d8d01783f48fb644de4f7e4c0fc8c91	BOARD	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
catalog_cache_search_dialog	BOTH	1	1	a67a22ba80c1ba2d817b3106dfa9c7ae81a79c795e74d9adfa4cf8f061089b91	fdb6dbb4683ac8ab9dfbed371eb17165ffe5c23582defbd73ff3ab68c6b102fa	CATALOG_SEARCH	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatCatalogCacheSearchDialogTest.kt#switchingFromAndBackToOrUsesStableBaseResults
catalog_cache_search_keyword_history_listview_item	FINAL_ONLY	0	1	-	938282f7d5bb35087c2df71eb1053f575dd82aa2f190a7e21f69d20875beb608	CATALOG_SEARCH	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatCatalogCacheSearchDialogTest.kt#switchingFromAndBackToOrUsesStableBaseResults
catalog_cache_search_listview_item	BOTH	1	1	4bc57538bea33b38a67c329e239eb361082bf4e1c615f761e7450070b429480d	4bc57538bea33b38a67c329e239eb361082bf4e1c615f761e7450070b429480d	CATALOG_SEARCH	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatCatalogCacheSearchDialogTest.kt#switchingFromAndBackToOrUsesStableBaseResults
catalog_dropped_listview_header	FINAL_ONLY	0	1	-	6352951cba5a1fad559b91aa9e3775a79accc68725a55bff01ab4df4bc2100fc	CATALOG_DROPPED	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDroppedCommandShowsTrackedThreadAndKeepsCurrentCatalog
catalog_dropped_listview_item	FINAL_ONLY	0	1	-	f606df2fa6e4d970f7644d39173122719c2d840fe9e6f16dee1ce72c9b469e75	CATALOG_DROPPED	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDroppedCommandShowsTrackedThreadAndKeepsCurrentCatalog
catalog_extract_dialog_add	BOTH	1	1	3bf01eee2727093e97ff300bba67f72721899936adcb27e800060f489cee811b	4ce36dc8877d137f66c001951ae0cb30e84a8f06a52b18d5399fe3afd9b8bcc8	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
catalog_extract_dialog_edit	BOTH	1	1	c45565693624ea8aaf271ec20171bb04057bd255172eba6fc6b525918d952ccd	07f6e85be4244e2c1b304b34d9658f6d9b66f96192ac8c4554690796534933c1	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
catalog_extract_list_item	BOTH	1	1	ef1d84726664a9c1c7422dabb852832581a37a48e429f717b3a15e4831e19725	326a2d54b880537be6d4a5f7633f2741f214e63721e80773953b503f86d7b732	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
catalog_fragment	BOTH	1	1	b5b2bba2f8d1db154da0420ee8c27216271b9a37845a4c4b3635ca2993526521	b5b2bba2f8d1db154da0420ee8c27216271b9a37845a4c4b3635ca2993526521	CATALOG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDisplaySwitchShowsCenteredLoadingIndicatorUntilNewLayoutIsReady
catalog_gridview_item	BOTH	1	1	98ae42985182b5efb1e951eb1441f5305777be41f96f3a4076ab4772360908ed	98ae42985182b5efb1e951eb1441f5305777be41f96f3a4076ab4772360908ed	CATALOG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDisplaySwitchShowsCenteredLoadingIndicatorUntilNewLayoutIsReady
catalog_gridview_item_multi_line	BOTH	1	1	34a3a6e3adbb5b37b15590ceb6f93e0eccd082191fa031ac24b10e11a68dbc1f	34a3a6e3adbb5b37b15590ceb6f93e0eccd082191fa031ac24b10e11a68dbc1f	CATALOG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDisplaySwitchShowsCenteredLoadingIndicatorUntilNewLayoutIsReady
catalog_ignore_dialog_add	BOTH	1	1	1f2da351c5f859102a2e861c9cba097f6beea8e94fe23d32a2acd1de7ecce445	b5d053e0479bfe2896263742481c6522f67532727dffe562cf8f1b02bb57a169	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
catalog_ignore_dialog_edit	BOTH	1	1	05912deecb66c1f23af378bb2b1a2079a0df860e20b961a505e486ca83871505	0f2840f97f34ba12fdd9582ee5152fc4885f58b4a6dbd5c802f360728125b635	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
catalog_ignore_list_item	BOTH	1	1	6f8a92b1d77c530f39c4955be58e88937b5a87ce9bc00e4b7e8b6e76a6054a90	2468c46c0bc139d3aa846c92c08c3ea0a5fbf2d3ace8647f249339817d84f3a9	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
catalog_listview_item	BOTH	1	1	858b45d572cd7dc9dfcd16e6c4562aa7946a0c8cd051be4a7555f0578ee6db9e	c131b66a44d4a9e654b94cb8844de50a999274631509ee8266d650d63a4eeaef	CATALOG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDisplaySwitchShowsCenteredLoadingIndicatorUntilNewLayoutIsReady
catalog_refuse_list_item	BOTH	1	1	65bb4a0cbe0be28fb076c0b31f7b7a744efe66f8c992da8cf9b90aad0d9e4392	a3b0a210a09a2b0629d6bfe8be52006ddbd6a83204c2256cbf263e282cf953e2	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefuseReferenceScreenShowsTitleUrlAndConfirmsEveryDeletion
catalog_tab_selector_item	BOTH	1	1	a9576f5cdbd697df0a1983fb6366b2ee7f9ec71ae179090c5915c2064c40d2ca	89f8503d2e814306dda9bf71fd41e9edaa816bdd044d7650a49786d034321a28	CATALOG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDisplaySwitchShowsCenteredLoadingIndicatorUntilNewLayoutIsReady
catalog_toolbar_listview_fragment	BOTH	1	1	a677dcdab0225f5c04701d1e522a2c8f6f7446b8f2e1bedc1e995218819267b0	436ab30ec1ff9086785dbed36e5ff9379da330daf602bc407b1329f2b035b290	CATALOG_TOOLBAR	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
catalog_toolbar_listview_item	BOTH	1	1	c4550df0026a0ea151b81db3385263bafcdebbd8771a5c0ce6efa2ff0a8977be	c4550df0026a0ea151b81db3385263bafcdebbd8771a5c0ce6efa2ff0a8977be	CATALOG_TOOLBAR	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
catalog_toolbar_spinner	FINAL_ONLY	1	1	882b1558c9676bd5bfbdacdb0a9a3d1e42e97b4e099dbf8868ed6571df49c42b	882b1558c9676bd5bfbdacdb0a9a3d1e42e97b4e099dbf8868ed6571df49c42b	CATALOG_TOOLBAR	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
common_dialog_ascii2d_register	BOTH	1	1	57692858d74535240985a3d19cc05de5039c266c1f396f9b0701963dceeba0a1	57692858d74535240985a3d19cc05de5039c266c1f396f9b0701963dceeba0a1	IMAGE_SEARCH	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#ascii2dAndImageCompressionDialogsMatchBothReferenceApks
common_toast	FINAL_ONLY	1	1	1c6bb3450ed14552aafcc82eada884975fb25a48f4bc672b56271ea152875f67	0949395f0a121963167d643716c6e01fa9f61f7c63fb1477db1f5bb116ea3a61	TRANSIENT	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#closeToolbarRemainsUsableForConsecutiveTabsWhileUndoToastIsVisible
download_dir_list_item	FINAL_ONLY	1	1	b916c08829d9a4999c326c814bdff923a48bb360714e784f9b2a37dab29c1df9	b916c08829d9a4999c326c814bdff923a48bb360714e784f9b2a37dab29c1df9	STORAGE	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#storageMatchesReferenceRowsDialogsRawValuesAndSeparateCacheUsage
drawer_history_fragment	BOTH	1	1	1754d171033d73ab62caa1be9a37e8f64a2f90ecfb3a6f2206e8de07717ed3d6	d6c9c2f1ec9588b44682f70b968cc4e523fc949ace8e7d8e06d0e592cbf40bb2	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
drawer_history_listview_item	BOTH	1	1	6a789bff02b151b49503bc3e8aee8ac94fc2b0ca75ae9d687e22c3be136f149e	7c5a17ebda772931bf0419d757072d1a20eb9b8e1b5822dd276c507356749393	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
drawer_listview_item	FINAL_ONLY	1	1	340339dec66a382744290410daf5100709055c8641630cb5c14765fe22ff2bd4	340339dec66a382744290410daf5100709055c8641630cb5c14765fe22ff2bd4	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
drawer_multi_fragment	BOTH	1	1	9fd01374ad13d9f2774e42df4672d277aaf4da7853fd573546e9a06de21fd2c8	9fd01374ad13d9f2774e42df4672d277aaf4da7853fd573546e9a06de21fd2c8	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
drawer_tab_dialog_context	BOTH	1	1	b0736af86f33e1088c249fbdafd35b5341d4dfd86645d6715b7f5219b779ee00	b0736af86f33e1088c249fbdafd35b5341d4dfd86645d6715b7f5219b779ee00	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
drawer_tab_dialog_context_listview_item	BOTH	1	1	795a923b5e4c6af905ece74f5a3917db74f006bfc6cb6c49c67bdb96028dde1e	795a923b5e4c6af905ece74f5a3917db74f006bfc6cb6c49c67bdb96028dde1e	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
drawer_tab_fragment	BOTH	1	1	4490600ca897263fac7217973f885e341aab6f1569ead54a5ed1bcf2f49cac24	4c601b658aaa7845244470d889f8ac58e5e2f8d64afe70a2a9270a6e25c567d5	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
drawer_tab_listview_item	BOTH	1	1	acd480801a9b8e45e43fe9b23b346f18a6781edbd23147a0c3757209d27942eb	e41b5dc7cd330da32ed0d4ece96fa324b10e452bfe7eef096919f8463540eec2	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
drawer_watcher_fragment	BOTH	1	1	bcc13c6f93f89182e84838678e2a1e39c05940b3f6994447b88d30533e69cdf1	3dbf47c299dc37c8933ba12782bc449eebe1318292ea506d739a0868a360add9	DRAWER	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRowsAndFiveToolbarImagesMatchOldAndFinalApk
